"","species","percentNegative","zone","scale"
"1","BBWA",0.302902218999434,1,500
"2","BBWA",0.3086372148232,2,500
"3","BBWA",0.347634835514574,3,500
"4","BBWA",0.281666772058159,4,500
"5","BTNW",0.00360375286620629,1,500
"6","BTNW",0.000725961265608167,2,500
"7","BTNW",0.00228360869937723,3,500
"8","BTNW",0.000501432113109548,4,500
"9","CAWA",0.0504586313581005,1,500
"10","CAWA",0.0391139149659492,2,500
"11","CAWA",0.0395434089921703,3,500
"12","CAWA",0.0297084697773535,4,500
"13","CMWA",0.15279248885316,1,500
"14","CMWA",0.15444695494561,2,500
"15","CMWA",0.166576554935123,3,500
"16","CMWA",0.138062385183381,4,500
