"","Estimate","Std.Error","p","lowerCI","upperCI","typeDisturbance","disturbanceDimension","Species","Significancy"
"122",-2.23513810886973,0.782713847798526,0.00429520598547681,-3.76925725055484,-0.701018967184617,"BOTH","LOCAL UNDISTURBED","BLPW","YES"
"32",-2.06523148913943,1.038141401748,0.0466620646804863,-4.0999886365655,-0.0304743417133566,"TRANSITIONAL","LOCAL UNDISTURBED","BLPW","YES"
"81",-1.95215352432678,0.737871126864291,0.00815325686858569,-3.39838093298079,-0.505926115672774,"PERMANENT","LOCAL UNDISTURBED","CAWA","YES"
"77",-1.72997184554342,1.06729457329678,0.105040278314891,-3.8218692092051,0.361925518118268,"PERMANENT","LOCAL UNDISTURBED","BLPW","NO"
"31",-1.47377499473245,0.435118411283742,0.000706442618436193,-2.32660708084858,-0.620942908616312,"TRANSITIONAL","LOCAL UNDISTURBED","BBWA","YES"
"37",-1.29294992797054,0.760736638278752,0.0892057109642623,-2.78399373899689,0.198093883055813,"TRANSITIONAL","LOCAL UNDISTURBED","CMWA","YES"
"85",-1.20581701106856,0.468461404881698,0.0100531913841744,-2.12400136463669,-0.287632657500431,"PERMANENT","LOCAL UNDISTURBED","PISI","YES"
"61",-1.15178460381433,0.219188015123497,1.4820223162511e-07,-1.58139311345638,-0.722176094172277,"PERMANENT","NEIGHBORHOOD","BBWA","YES"
"66",-1.13555771493025,0.319355017390726,0.000376852467782315,-1.76149354901608,-0.509621880844429,"PERMANENT","NEIGHBORHOOD","CAWA","YES"
"51",-1.10430816404949,0.354030848459659,0.00181316501122296,-1.79820862703042,-0.410407701068561,"PERMANENT","LOCAL","CAWA","YES"
"46",-0.918090464573896,0.222365547560372,3.64749917785463e-05,-1.35392693779222,-0.482253991355567,"PERMANENT","LOCAL","BBWA","YES"
"121",-0.911770137227173,0.315547897392858,0.00385876446277301,-1.53024401611717,-0.293296258337171,"BOTH","LOCAL UNDISTURBED","BBWA","YES"
"18",-0.813899597729361,0.177637302725989,4.60978212731942e-06,-1.1620687110723,-0.465730484386423,"TRANSITIONAL","NEIGHBORHOOD","BOCH","YES"
"50",-0.791326938967646,0.220002087682749,0.000322024171924358,-1.22253103082583,-0.360122847109458,"PERMANENT","LOCAL","BTNW","YES"
