"","Estimate","Std.Error","p","lowerCI","upperCI","typeDisturbance","disturbanceDimension","Species","Significancy"
"122",-2.23513810886973,0.782713847798526,0.00429520598547681,-3.76925725055484,-0.701018967184617,"BOTH","LOCAL UNDISTURBED","BLPW","YES"
"32",-2.06523148913943,1.038141401748,0.0466620646804863,-4.0999886365655,-0.0304743417133566,"TRANSITIONAL","LOCAL UNDISTURBED","BLPW","YES"
"81",-1.9521533820486,0.737983189573443,0.00816294869725331,-3.39860043361255,-0.505706330484654,"PERMANENT","LOCAL UNDISTURBED","CAWA","YES"
"77",-1.72997184554342,1.06729457329678,0.105040278314891,-3.8218692092051,0.361925518118268,"PERMANENT","LOCAL UNDISTURBED","BLPW","NO"
"31",-1.47377484958766,0.435170426751766,0.000707486693662334,-2.32670888602112,-0.620840813154194,"TRANSITIONAL","LOCAL UNDISTURBED","BBWA","YES"
"37",-1.29294992797054,0.760736638278752,0.0892057109642623,-2.78399373899689,0.198093883055813,"TRANSITIONAL","LOCAL UNDISTURBED","CMWA","YES"
"85",-1.2058173244361,0.468615257605811,0.0100777535752832,-2.12430322934349,-0.287331419528705,"PERMANENT","LOCAL UNDISTURBED","PISI","YES"
"61",-1.15178460381433,0.219188015123497,1.4820223162511e-07,-1.58139311345638,-0.722176094172277,"PERMANENT","NEIGHBORHOOD","BBWA","YES"
"66",-1.13555771493025,0.319355017390726,0.000376852467782315,-1.76149354901608,-0.509621880844429,"PERMANENT","NEIGHBORHOOD","CAWA","YES"
"51",-1.10418684114525,0.354242345041367,0.00182678040395276,-1.79850183742633,-0.409871844864175,"PERMANENT","LOCAL","CAWA","YES"
"46",-0.918102388950419,0.222347790136854,3.64142340469294e-05,-1.35390405761865,-0.482300720282185,"PERMANENT","LOCAL","BBWA","YES"
"121",-0.91177006342459,0.315615725349913,0.00386639539330201,-1.53037688511042,-0.293163241738761,"BOTH","LOCAL UNDISTURBED","BBWA","YES"
"18",-0.813899597729361,0.177637302725989,4.60978212731942e-06,-1.1620687110723,-0.465730484386423,"TRANSITIONAL","NEIGHBORHOOD","BOCH","YES"
"50",-0.791347917214845,0.2200026389915,0.00032191734129382,-1.22255308963818,-0.360142744791506,"PERMANENT","LOCAL","BTNW","YES"
