"","Estimate","Std.Error","p","lowerCI","upperCI","typeDisturbance","disturbanceDimension","Species","Significancy"
"17",-4.29109137394569,2.07115103312879,0.0382804632860234,-8.35054739887812,-0.231635349013256,"PERMANENT","LOCAL UNDISTURBED","BLPW","YES"
"18",-2.01616453139687,1.1480097962065,0.0790498448778634,-4.26626373196161,0.233934669167861,"PERMANENT","LOCAL UNDISTURBED","BOCH","YES"
"1",-1.94313504952685,0.65129551503819,0.00284979355835,-3.2196742590017,-0.666595840051994,"TRANSITIONAL","LOCAL UNDISTURBED","BBWA","YES"
"25",-1.63281976194625,0.592629035770489,0.00586537747107523,-2.79437267205641,-0.471266851836092,"PERMANENT","LOCAL UNDISTURBED","PISI","YES"
"5",-1.53894175070607,0.512923191144547,0.00269682220876049,-2.54427120534938,-0.533612296062759,"TRANSITIONAL","LOCAL UNDISTURBED","BTNW","YES"
"16",-1.10591866926093,0.667263617931656,0.0974398580708684,-2.41375536040698,0.201918021885114,"PERMANENT","LOCAL UNDISTURBED","BBWA","YES"
"10",-0.877750455019815,0.664010396020525,0.186203903780763,-2.17921083122004,0.423709921180415,"TRANSITIONAL","LOCAL UNDISTURBED","PISI","NO"
"7",-0.871606633821638,1.01113045341299,0.38868088751718,-2.8534223225111,1.11020905486782,"TRANSITIONAL","LOCAL UNDISTURBED","CMWA","NO"
"27",-0.780732610740274,0.248144038635463,0.0016535709138486,-1.26709492646578,-0.294370295014766,"PERMANENT","LOCAL UNDISTURBED","SWTH","YES"
"21",-0.305606444187827,0.796941653933388,0.70136830700991,-1.86761208589727,1.25639919752161,"PERMANENT","LOCAL UNDISTURBED","CAWA","NO"
"22",-0.292982047897035,1.06444907512067,0.783129631618608,-2.37930223513355,1.79333813933948,"PERMANENT","LOCAL UNDISTURBED","CMWA","NO"
"4",-0.250726041878376,0.566429221997113,0.65802383444113,-1.36092731699272,0.859475233235965,"TRANSITIONAL","LOCAL UNDISTURBED","BRCR","NO"
"12",-0.186587528275778,0.215493283601678,0.386565633463019,-0.608954364135067,0.23577930758351,"TRANSITIONAL","LOCAL UNDISTURBED","SWTH","NO"
"28",-0.134513646407128,0.205670034666657,0.513094753237684,-0.537626914353775,0.268599621539519,"PERMANENT","LOCAL UNDISTURBED","TEWA","NO"
"26",-0.0494631061018916,0.423441621635773,0.907008953018519,-0.879408684508006,0.780482472304223,"PERMANENT","LOCAL UNDISTURBED","RBNU","NO"
"13",0.00979464618738451,0.198938632183716,0.960732409153686,-0.380125072892698,0.399714365267467,"TRANSITIONAL","LOCAL UNDISTURBED","TEWA","NO"
"30",0.0752788258824646,0.224027221473886,0.736851749022704,-0.363814528206351,0.51437217997128,"PERMANENT","LOCAL UNDISTURBED","YRWA","NO"
"20",0.11236761078932,0.398447088961146,0.777932864975956,-0.668588683574527,0.893323905153167,"PERMANENT","LOCAL UNDISTURBED","BTNW","NO"
"6",0.180955546597535,0.663356556682817,0.78501637195845,-1.11922330450079,1.48113439769586,"TRANSITIONAL","LOCAL UNDISTURBED","CAWA","NO"
"2",0.332489947382653,1.0467312090382,0.750753501713584,-1.71910322233222,2.38408311709753,"TRANSITIONAL","LOCAL UNDISTURBED","BLPW","NO"
"24",0.344425845022069,0.191030185412277,0.0713895130374385,-0.0299933183859934,0.718845008430131,"PERMANENT","LOCAL UNDISTURBED","OVEN","YES"
"3",0.354471286372049,0.785513067886668,0.651801565482721,-1.18513432668582,1.89407689942992,"TRANSITIONAL","LOCAL UNDISTURBED","BOCH","NO"
"9",0.359511936353632,0.166472786878031,0.0308049023977066,0.0332252740726923,0.685798598634572,"TRANSITIONAL","LOCAL UNDISTURBED","OVEN","YES"
"15",0.421930875713032,0.1817643658991,0.0202702864090667,0.0656727185507949,0.778189032875268,"TRANSITIONAL","LOCAL UNDISTURBED","YRWA","YES"
"11",0.446947298794915,0.324047010565838,0.167812494099175,-0.188184841914127,1.08207943950396,"TRANSITIONAL","LOCAL UNDISTURBED","RBNU","NO"
"14",0.666262687410404,0.426084028707035,0.117890744325385,-0.168862008855385,1.50138738367619,"TRANSITIONAL","LOCAL UNDISTURBED","WETA","NO"
"29",0.687703703957767,0.470250642493516,0.143626292246986,-0.233987555329524,1.60939496324506,"PERMANENT","LOCAL UNDISTURBED","WETA","NO"
"19",1.27602579624683,0.4987726669381,0.0105175794765624,0.298431369048158,2.25362022344551,"PERMANENT","LOCAL UNDISTURBED","BRCR","YES"
"23",1.3017414677615,0.465153144182879,0.00513370172781873,0.390041305163058,2.21344163035995,"PERMANENT","LOCAL UNDISTURBED","CONW","YES"
"8",1.58933421069058,0.321691928135369,7.79035615823654e-07,0.958818031545261,2.21985038983591,"TRANSITIONAL","LOCAL UNDISTURBED","CONW","YES"
