"","species","percentNegative","zone","scale"
"1","BBWA",0.159957811508555,1,100
"2","BBWA",0.178272357491919,2,100
"3","BBWA",0.18560893928574,3,100
"4","BBWA",0.1584225743378,4,100
"5","BTNW",0.0690233147298717,1,100
"6","BTNW",0.0703171606392557,2,100
"7","BTNW",0.0780856165451637,3,100
"8","BTNW",0.0624975063111169,4,100
"9","CAWA",0.0714641731473034,1,100
"10","CAWA",0.0741060791245599,2,100
"11","CAWA",0.079623680389421,3,100
"12","CAWA",0.064619743346953,4,100
"13","CMWA",0.112479017167547,1,100
"14","CMWA",0.122970613731917,2,100
"15","CMWA",0.129254191276366,3,100
"16","CMWA",0.109118536315297,4,100
